output_dir,fold,batch_size,shape,latent_dim,loss,iterations,steps_per_epoch,LR,LR_decay
/home/skara2/breast-density/vae/jmodels/out/exp1,-1,4,32,1,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp2,-1,4,32,2,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp3,-1,4,32,3,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp4,-1,4,32,4,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp5,-1,4,32,5,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp6,-1,4,32,6,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp7,-1,4,32,7,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp8,-1,4,32,8,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp9,-1,4,32,9,mae,20000,1000,0.001,0.99
/home/skara2/breast-density/vae/jmodels/out/exp10,-1,4,32,10,mae,20000,1000,0.001,0.99
